Kabupaten_Kota,Puskesmas,Jumlah_Penderita_DM
Jakarta Pusat,8,28571
Jakarta Utara,6,37294
Jakarta Barat,8,43128
Jakarta Selatan,10,63762
Jakarta Timur,10,59906
Kepulauan Seribu,2,1257
