Kabupaten_Kota,Puskesmas,Penderita_Laki,Penderita_Perempuan,Total_Penderita
Kabupaten Lebak,42,1453,1089,2542
Kabupaten Pandeglang,36,1435,1040,2475
Kabupaten Serang,31,2041,1527,3568
Kabupaten Tangerang,44,3592,2497,6089
Kota Tangerang,37,1212,938,2150
Kota Cilegon,8,773,521,1294
Kota Serang,16,18,14,32
Kota Tangerang Selatan,29,2102,1742,3844
